AHousehold,ATotal,Date,Household,Show,Time,Total,Year,Month
0.62,783.0,2016-07-16,,One Punch Man,12:00,1282,2016,7
0.66,835.0,2016-07-23,,One Punch Man,12:00,1443,2016,7
0.71,894.0,2016-07-30,,One Punch Man,12:00,1366,2016,7
0.62,783.0,2016-08-06,,One Punch Man,12:00,1228,2016,8
0.51,644.0,2016-08-13,,One Punch Man,12:00,1124,2016,8
0.61,773.0,2016-08-20,,One Punch Man,12:00,1077,2016,8
0.63,802.0,2016-08-27,,One Punch Man,12:00,1149,2016,8
0.51,658.0,2016-09-03,,One Punch Man,12:00,1129,2016,9
0.58,739.0,2016-09-10,,One Punch Man,12:00,1153,2016,9
0.6,767.0,2016-09-17,,One Punch Man,12:00,1203,2016,9
0.59,751.0,2016-09-24,,One Punch Man,12:00,1330,2016,9
