AHousehold,ATotal,Date,Household,Show,Time,Total,Year,Month
,657.0,2013-04-27,0.8,Bleach,12:00,1223,2013,4
,594.0,2013-05-04,0.8,Bleach,12:00,1138,2013,5
,594.0,2013-05-11,0.8,Bleach,12:00,1055,2013,5
,518.0,2013-05-25,0.8,Bleach,12:00,998,2013,5
,670.0,2013-06-01,0.9,Bleach,12:00,1299,2013,6
,518.0,2013-05-18,0.8,Bleach,12:00,977,2013,5
,574.0,2014-05-31,0.7,Bleach,12:00,1067,2014,5
,622.0,2014-06-07,0.7,Bleach,12:00,911,2014,6
,621.0,2014-06-14,0.8,Bleach,12:00,1168,2014,6
,629.0,2014-06-21,0.7,Bleach,12:00,1044,2014,6
,601.0,2014-06-28,0.7,Bleach,12:00,999,2014,6
,605.0,2014-07-12,0.7,Bleach,12:00,968,2014,7
,460.0,2014-07-19,0.7,Bleach,12:00,917,2014,7
,491.0,2014-07-26,0.5,Bleach,12:00,851,2014,7
,484.0,2014-08-02,0.6,Bleach,12:00,865,2014,8
,601.0,2014-08-09,0.7,Bleach,12:00,1033,2014,8
,64.0,2014-08-16,0.8,Bleach,12:00,1110,2014,8
0.5,635.0,2014-08-23,0.8,Bleach,12:00,1169,2014,8
0.6,713.0,2014-09-06,,Bleach,12:00,115,2014,9
0.6,725.0,2014-09-13,0.8,Bleach,12:00,1165,2014,9
0.5,660.0,2014-09-20,0.8,Bleach,12:00,1170,2014,9
0.6,729.0,2014-09-27,0.8,Bleach,12:00,1105,2014,9
0.4,563.0,2014-10-04,0.7,Bleach,12:00,954,2014,10
0.5,604.0,2014-10-11,0.7,Bleach,12:00,1087,2014,10
0.5,636.0,2014-10-18,0.8,Bleach,12:00,1046,2014,10
0.4,452.0,2014-10-25,0.6,Bleach,12:00,898,2014,10
0.4,489.0,2014-11-01,0.7,Bleach,12:00,994,2014,11
