AHousehold,ATotal,Date,Household,Show,Time,Total,Year,Month
0.4,545.0,2014-11-08,0.7,Dragon Ball Z Kai,12:00,912,2014,11
,545.0,2014-11-15,0.7,Dragon Ball Z Kai,12:00,946,2014,11
0.5,644.0,2014-11-22,0.8,Dragon Ball Z Kai,12:00,1278,2014,11
0.4,444.0,2014-11-29,0.6,Dragon Ball Z Kai,12:00,927,2014,11
0.4,491.0,2015-01-03,0.7,Dragon Ball Z Kai,12:00,940,2015,1
0.4,477.0,2015-01-17,0.6,Dragon Ball Z Kai,12:00,850,2015,1
0.5,653.0,2015-02-14,0.9,Dragon Ball Z Kai,12:00,1258,2015,2
0.7,925.0,2015-02-21,1.1,Dragon Ball Z Kai,12:00,1555,2015,2
0.7,921.0,2015-02-28,1.1,Dragon Ball Z Kai,12:00,1564,2015,2
,1628.0,2015-03-07,1.1,Dragon Ball Z Kai,12:00,1628,2015,3
0.6,753.0,2015-03-14,0.9,Dragon Ball Z Kai,12:00,1354,2015,3
0.7,867.0,2015-03-21,1.0,Dragon Ball Z Kai,12:00,1501,2015,3
0.6,755.0,2015-03-28,0.9,Dragon Ball Z Kai,12:00,1338,2015,3
0.6,749.0,2015-04-04,1.0,Dragon Ball Z Kai,12:00,1425,2015,4
0.6,740.0,2015-04-11,1.0,Dragon Ball Z Kai,12:00,1304,2015,4
0.7,828.0,2015-04-18,1.1,Dragon Ball Z Kai,12:00,1523,2015,4
0.8,1026.0,2015-04-25,1.1,Dragon Ball Z Kai,12:00,1636,2015,4
0.6,747.0,2015-05-02,0.9,Dragon Ball Z Kai,12:00,1266,2015,5
0.57,720.0,2015-05-09,1.0,Dragon Ball Z Kai,12:00,1403,2015,5
0.5,674.0,2015-05-16,0.8,Dragon Ball Z Kai,12:00,1163,2015,5
0.6,767.0,2015-05-23,0.9,Dragon Ball Z Kai,12:00,1330,2015,5
0.62,785.0,2015-05-30,1.0,Dragon Ball Z Kai,12:00,1385,2015,5
0.51,653.0,2015-06-20,0.8,Dragon Ball Z Kai,12:00,1157,2015,6
0.57,726.0,2015-06-27,0.82,Dragon Ball Z Kai,12:00,1225,2015,6
0.49,627.0,2015-07-04,0.75,Dragon Ball Z Kai,12:00,1022,2015,7
0.54,680.0,2015-07-11,0.91,Dragon Ball Z Kai,12:00,1222,2015,7
0.52,657.0,2015-07-18,1.0,Dragon Ball Z Kai,12:00,1396,2015,7
0.73,928.0,2015-07-25,1.05,Dragon Ball Z Kai,12:00,1540,2015,7
0.73,925.0,2015-08-01,1.06,Dragon Ball Z Kai,12:00,1608,2015,8
0.99,1250.0,2015-08-08,1.2,Dragon Ball Z Kai,12:00,2015,2015,8
0.75,948.0,2015-08-15,,Dragon Ball Z Kai,12:00,1704,2015,8
0.72,917.0,2015-08-22,,Dragon Ball Z Kai,12:00,1527,2015,8
0.83,1051.0,2015-08-29,,Dragon Ball Z Kai,12:00,1752,2015,8
0.66,839.0,2015-09-12,,Dragon Ball Z Kai,12:00,1343,2015,9
0.64,856.0,2015-09-19,,Dragon Ball Z Kai,12:00,1587,2015,9
